# === Top 10 强势行业 (588 行业指数 vs 大盘) ===
industry_code,industry_name,ret,alpha_vs_idx
881289.SH,航天装备,0.7990520118179689,0.7756275662274583
881115.SH,林业,0.23253007522327507,0.20910562963276447
881291.SH,军工电子,0.22625698324022347,0.20283253764971287
881198.SH,家电零部件,0.2030089655628582,0.1795845199723476
881019.SH,化纤,0.16938954415046226,0.14596509855995166
881094.SH,玻璃玻纤,0.1505384236298246,0.127113978039314
881338.SH,通信设备,0.14172776844706525,0.11830332285655465
881261.SH,电机制造,0.14041589932473908,0.11699145373422848
881071.SH,工业金属,0.13301174203065513,0.10958729644014453
881078.SH,能源金属,0.11692979983084295,0.09350535424033235

# === Top 10 行业 全部成分股 (α vs 大盘) ===
industry_code,industry_name,industry_ret,stock,stock_ret,alpha_vs_idx,alpha_vs_industry
881071.SH,工业金属,0.13301174203065513,601899.SH,0.1501501501501501,0.1267257045596395,0.017138408119494963
881071.SH,工业金属,0.13301174203065513,600219.SH,0.1495726495726497,0.1261482039821391,0.016560907541994574
881291.SH,军工电子,0.22625698324022347,301050.SZ,0.14927344782034346,0.12584900222983286,-0.07698353541988001
881094.SH,玻璃玻纤,0.1505384236298246,603256.SH,0.14780168381665115,0.12437723822614055,-0.002736739813173461
881071.SH,工业金属,0.13301174203065513,601168.SH,0.14688796680497918,0.12346352121446857,0.013876224774324042
881019.SH,化纤,0.16938954415046226,000936.SZ,0.14623955431754876,0.12281510872703816,-0.023149989832913498
881071.SH,工业金属,0.13301174203065513,301217.SZ,0.13924891990694577,0.11582447431643517,0.006237177876290634
881071.SH,工业金属,0.13301174203065513,601212.SH,0.13592233009708732,0.11249788450657672,0.002910588066432185
881289.SH,航天装备,0.7990520118179689,002829.SZ,0.13511560693641633,0.11169116134590573,-0.6639364048815526
881291.SH,军工电子,0.22625698324022347,300447.SZ,0.13425345043914683,0.11082900484863623,-0.09200353280107665
881338.SH,通信设备,0.14172776844706525,688100.SH,0.13093525179856114,0.10751080620805054,-0.010792516648504114
881019.SH,化纤,0.16938954415046226,000301.SZ,0.13084112149532712,0.10741667590481652,-0.03854842265513514
881338.SH,通信设备,0.14172776844706525,600198.SH,0.12997658079625318,0.10655213520574258,-0.011751187650812067
881261.SH,电机制造,0.14041589932473908,300626.SZ,0.12916962384669972,0.10574517825618912,-0.011246275478039358
881338.SH,通信设备,0.14172776844706525,002396.SZ,0.12849162011173187,0.10506717452122127,-0.013236148335333375
881019.SH,化纤,0.16938954415046226,601233.SH,0.12704649639816634,0.10362205080765574,-0.042343047752295915
881071.SH,工业金属,0.13301174203065513,002171.SZ,0.1265930331350893,0.1031685875445787,-0.006418708895565839
881289.SH,航天装备,0.7990520118179689,000561.SZ,0.12316176470588225,0.09973731911537165,-0.6758902471120867
881019.SH,化纤,0.16938954415046226,688722.SH,0.12291786329695586,0.09949341770644526,-0.04647168085350639
881338.SH,通信设备,0.14172776844706525,003040.SZ,0.12269272529858832,0.09926827970807772,-0.019035043148476927
881261.SH,电机制造,0.14041589932473908,603728.SH,0.12153154549682199,0.09810709990631139,-0.01888435382791709
881338.SH,通信设备,0.14172776844706525,300570.SZ,0.11858664085188764,0.09516219526137704,-0.023141127595177613
881071.SH,工业金属,0.13301174203065513,603876.SH,0.11847988077496274,0.09505543518445214,-0.014531861255692391
881261.SH,电机制造,0.14041589932473908,002801.SZ,0.11633039092055486,0.09290594533004426,-0.02408550840418422
881289.SH,航天装备,0.7990520118179689,300722.SZ,0.11627906976744184,0.09285462417693124,-0.6827729420505271
881071.SH,工业金属,0.13301174203065513,600497.SH,0.11603053435114496,0.09260608876063436,-0.01698120767951017
881289.SH,航天装备,0.7990520118179689,688231.SH,0.11540111540111542,0.09197666981060482,-0.6836508964168535
881261.SH,电机制造,0.14041589932473908,000922.SZ,0.11326860841423958,0.08984416282372898,-0.0271472909104995
881078.SH,能源金属,0.11692979983084295,603799.SH,0.11172638436482085,0.08830193877431025,-0.005203415466022099
881291.SH,军工电子,0.22625698324022347,000733.SZ,0.10991105463786521,0.08648660904735461,-0.11634592860235826
881094.SH,玻璃玻纤,0.1505384236298246,002080.SZ,0.1096183206106871,0.0861938750201765,-0.04092010301913751
881078.SH,能源金属,0.11692979983084295,002240.SZ,0.10814290312198249,0.08471845753147189,-0.008786896708860459
881071.SH,工业金属,0.13301174203065513,601600.SH,0.10788757932910253,0.08446313373859193,-0.0251241627015526
881338.SH,通信设备,0.14172776844706525,300627.SZ,0.10719949254678074,0.08377504695627014,-0.03452827590028451
881078.SH,能源金属,0.11692979983084295,301219.SZ,0.1064657267865825,0.0830412811960719,-0.010464073044260447
881071.SH,工业金属,0.13301174203065513,000060.SZ,0.10377358490566024,0.08034913931514964,-0.02923815712499489
881338.SH,通信设备,0.14172776844706525,688313.SH,0.1031312127236581,0.0797067671331475,-0.038596555723407144
881071.SH,工业金属,0.13301174203065513,000612.SZ,0.10199999999999987,0.07857555440948927,-0.031011742030655265
881291.SH,军工电子,0.22625698324022347,688439.SH,0.10163710777626189,0.07821266218575129,-0.12461987546396158
881094.SH,玻璃玻纤,0.1505384236298246,600176.SH,0.10109465550547347,0.07767020991496287,-0.04944376812435114
881338.SH,通信设备,0.14172776844706525,600775.SH,0.09990999099909992,0.07648554540858932,-0.04181777744796533
881338.SH,通信设备,0.14172776844706525,600522.SH,0.09884778653729542,0.07542334094678482,-0.042879981909769826
881291.SH,军工电子,0.22625698324022347,600562.SH,0.09747572815533978,0.07405128256482918,-0.1287812550848837
881019.SH,化纤,0.16938954415046226,603225.SH,0.0969560315670801,0.0735315859765695,-0.07243351258338215
881291.SH,军工电子,0.22625698324022347,300177.SZ,0.09196617336152202,0.06854172777101142,-0.13429080987870146
881071.SH,工业金属,0.13301174203065513,002379.SZ,0.09124087591240881,0.06781643032189821,-0.04177086611824632
881019.SH,化纤,0.16938954415046226,603332.SH,0.09119496855345921,0.06777052296294861,-0.07819457559700305
881071.SH,工业金属,0.13301174203065513,000758.SZ,0.090311986863711,0.0668875412732004,-0.04269975516694413
881338.SH,通信设备,0.14172776844706525,300698.SZ,0.08834926375613539,0.06492481816562479,-0.05337850469092986
