stock,ma5,ma10,ma20,rsi14,atr14,bband_pctb,macd,stoch_k,obv,mfi14,adx14,amount,vwap
600036.SH,-0.35654634395380547,-0.33693216803481857,-0.3223948408537945,-0.06752318988610395,-0.004281179779167391,-0.0033382104155963094,-0.05589646693445456,-0.029412513936532114,-0.21441046920579118,0.0022242833441737846,0.14426212215101145,0.048052242320674725,-0.2917977012691135
600039.SH,-0.18927672758283307,-0.19245976325571615,-0.1948372519992129,-0.005417106538662281,-0.15263368975220384,0.08056208060597961,-0.04719007834283252,0.09499249119848442,-0.18678742939036186,-0.048162945687362464,-0.062233656748743656,-0.10245390599887592,-0.20240387906839957
600221.SH,-0.09265020438964196,-0.059056455293048864,-0.0682775631614676,0.005193174578831744,-0.1174502635741786,-0.055603401261410494,0.06257239933223564,-0.058630076693081,0.03776664170396139,-0.007966686061033557,-0.09763473673934653,-0.2360362680289753,-0.13066659970338393
600276.SH,-0.18182515447425998,-0.1741128401778514,-0.19201174941272375,-0.09212382859622661,-0.2231079736325542,-0.10181538938445539,0.019277123001678522,-0.1159847616339728,-0.20010354854157206,-0.15248036716218166,-0.17264437073454394,-0.1060838733225282,-0.20954256359987355
600323.SH,-0.10288379227407708,-0.0939674456097992,-0.07517267502164296,-0.19992585383743253,-0.16040975611526517,-0.10070375261426225,-0.24014176579679136,-0.13976201949357955,-0.06932083731059108,-0.16522828271222353,-0.05578145095343727,0.02321790888827187,-0.14128623788529032
600346.SH,0.010753839818437996,0.043029333232162174,0.09090112821801234,-0.19207346287740268,0.06719292342665732,-0.11636728149193241,-0.2202998866048125,-0.17163709407731242,0.08577847521393768,-0.14716282748673767,0.08974289165446707,0.10869611784146234,-0.012612842768384586
600388.SH,0.01666852925040747,-0.0020918934771848915,-0.026601701109899345,0.04297121426548135,0.0021127694139658685,0.06254719705203278,0.06240195767421939,0.06690393993345087,0.08991626357139886,-0.009683674336441288,-0.003975621999167354,0.03741690362444933,-0.0016902541518377587
600415.SH,-0.21344077560806177,-0.20257479099019524,-0.18211921931752564,-0.07662177393714265,-0.18541562661950364,-0.20560801914330767,0.011812342513605342,-0.18215237882374957,-0.08504947484265253,-0.030480616491865797,0.02718664566921388,-0.1480945835767134,-0.25087809092083974
600461.SH,-0.33114858523031854,-0.3439305732597046,-0.3515705282145867,-0.10068371907724172,-0.18470389017687197,-0.0072991215353152205,-0.19537578836860248,-0.007715513922266494,-0.23956926827006866,0.14288005033741485,-0.14285506308424795,0.0890049501368844,-0.3301791981020095
600519.SH,-0.34310217682716976,-0.32832251286647984,-0.32380654208787496,-0.10521945664110054,-0.008214712838076618,-0.03988371891621779,-0.17512580191589816,-0.03262322289174234,-0.2433210566454213,-0.0670852984556694,0.0584539095184195,0.09124031619777494,-0.29367336132160093
