feature,value
"close__fft_coefficient__attr_""real""__coeff_13",-55.464281847557295
"close__fft_coefficient__attr_""real""__coeff_14",-15.708292886935547
"close__fft_coefficient__attr_""real""__coeff_15",7.64011330178749
"close__fft_coefficient__attr_""real""__coeff_16",-10.792309844022395
"close__fft_coefficient__attr_""real""__coeff_17",4.279682010970417
"close__fft_coefficient__attr_""real""__coeff_18",52.31528120184329
"close__fft_coefficient__attr_""real""__coeff_19",24.51033278587444
"close__fft_coefficient__attr_""real""__coeff_20",22.859589030070623
"close__fft_coefficient__attr_""real""__coeff_21",-25.267273096204292
"close__fft_coefficient__attr_""real""__coeff_22",-15.72796724913323
"close__fft_coefficient__attr_""real""__coeff_23",-13.76206679243187
"close__fft_coefficient__attr_""real""__coeff_24",4.716253264031822
"close__fft_coefficient__attr_""real""__coeff_25",-18.910474710480646
"close__fft_coefficient__attr_""real""__coeff_26",5.178995301991124
"close__fft_coefficient__attr_""real""__coeff_27",3.3652560330207404
"close__fft_coefficient__attr_""real""__coeff_28",-4.317678363971144
"close__fft_coefficient__attr_""real""__coeff_29",-29.876916905249804
"close__fft_coefficient__attr_""real""__coeff_30",-28.57389330423196
"close__fft_coefficient__attr_""real""__coeff_31",-19.83131776492404
"close__fft_coefficient__attr_""real""__coeff_32",-16.69911655478476
"close__fft_coefficient__attr_""real""__coeff_33",-11.208995840327937
"close__fft_coefficient__attr_""real""__coeff_34",-32.38655225271529
"close__fft_coefficient__attr_""real""__coeff_35",0.0011470181675576896
"close__fft_coefficient__attr_""real""__coeff_36",6.432213677285265
"close__fft_coefficient__attr_""real""__coeff_37",-18.026986235591956
"close__fft_coefficient__attr_""real""__coeff_38",-35.82388322704745
"close__fft_coefficient__attr_""real""__coeff_39",-23.64843107112034
"close__fft_coefficient__attr_""real""__coeff_40",-32.6589920104555
"close__fft_coefficient__attr_""real""__coeff_41",4.4300298336639266
"close__fft_coefficient__attr_""real""__coeff_42",18.566470554037746
"close__fft_coefficient__attr_""real""__coeff_43",14.399465636788216
"close__fft_coefficient__attr_""real""__coeff_44",-15.957531019342538
"close__fft_coefficient__attr_""real""__coeff_45",-4.830577284164799
"close__fft_coefficient__attr_""real""__coeff_46",-13.399294069043195
"close__fft_coefficient__attr_""real""__coeff_47",2.630944890959203
"close__fft_coefficient__attr_""real""__coeff_48",-13.470010531123293
"close__fft_coefficient__attr_""real""__coeff_49",-6.880524642402776
"close__fft_coefficient__attr_""real""__coeff_50",-15.70591478065875
"close__fft_coefficient__attr_""real""__coeff_51",-18.157639858502144
"close__fft_coefficient__attr_""real""__coeff_52",-17.031585986793804
"close__fft_coefficient__attr_""real""__coeff_53",-3.619742580902985
"close__fft_coefficient__attr_""real""__coeff_54",-4.5405996974740725
"close__fft_coefficient__attr_""real""__coeff_55",-28.934018089640873
"close__fft_coefficient__attr_""real""__coeff_56",-38.53925442762839
"close__fft_coefficient__attr_""real""__coeff_57",-14.816365748245413
"close__fft_coefficient__attr_""real""__coeff_58",-17.471058801129026
"close__fft_coefficient__attr_""real""__coeff_59",-6.836579832796819
"close__fft_coefficient__attr_""real""__coeff_60",-19.984195088421107
"close__fft_coefficient__attr_""real""__coeff_61",-24.10370520120232
"close__fft_coefficient__attr_""real""__coeff_62",-5.572166283534862
"close__fft_coefficient__attr_""real""__coeff_63",-1.4823099530600015
"close__fft_coefficient__attr_""real""__coeff_64",0.9229121822857955
"close__fft_coefficient__attr_""real""__coeff_65",-23.710854688350423
"close__fft_coefficient__attr_""real""__coeff_66",-11.5304750629012
"close__fft_coefficient__attr_""real""__coeff_67",-9.4769621699179
"close__fft_coefficient__attr_""real""__coeff_68",-22.327760274165705
"close__fft_coefficient__attr_""real""__coeff_69",-22.528046298951264
"close__fft_coefficient__attr_""real""__coeff_70",-14.27614701816833
"close__fft_coefficient__attr_""real""__coeff_71",-0.37573711043824076
"close__fft_coefficient__attr_""real""__coeff_72",-10.980802885123865
"close__fft_coefficient__attr_""real""__coeff_73",-23.4599654883008
"close__fft_coefficient__attr_""real""__coeff_74",-23.222028991289793
"close__fft_coefficient__attr_""real""__coeff_75",-21.51361050886056
"close__fft_coefficient__attr_""real""__coeff_76",-21.044439617326834
"close__fft_coefficient__attr_""real""__coeff_77",-22.700501351466208
"close__fft_coefficient__attr_""real""__coeff_78",-25.933044282601386
"close__fft_coefficient__attr_""real""__coeff_79",-22.59512137073536
"close__fft_coefficient__attr_""real""__coeff_80",-16.467373711357457
"close__fft_coefficient__attr_""real""__coeff_81",-7.507496870262123
"close__fft_coefficient__attr_""real""__coeff_82",-20.198456551230016
"close__fft_coefficient__attr_""real""__coeff_83",-14.996761773730025
"close__fft_coefficient__attr_""real""__coeff_84",-15.032430023732392
"close__fft_coefficient__attr_""real""__coeff_85",-16.595490701460506
"close__fft_coefficient__attr_""real""__coeff_86",-6.798041806870885
"close__fft_coefficient__attr_""real""__coeff_87",-16.95988869189992
"close__fft_coefficient__attr_""real""__coeff_88",0.0
"close__fft_coefficient__attr_""real""__coeff_89",0.0
"close__fft_coefficient__attr_""real""__coeff_90",0.0
"close__fft_coefficient__attr_""real""__coeff_91",0.0
"close__fft_coefficient__attr_""real""__coeff_92",0.0
"close__fft_coefficient__attr_""real""__coeff_93",0.0
"close__fft_coefficient__attr_""real""__coeff_94",0.0
"close__fft_coefficient__attr_""real""__coeff_95",0.0
"close__fft_coefficient__attr_""real""__coeff_96",0.0
"close__fft_coefficient__attr_""real""__coeff_97",0.0
"close__fft_coefficient__attr_""real""__coeff_98",0.0
"close__fft_coefficient__attr_""real""__coeff_99",0.0
"close__fft_coefficient__attr_""imag""__coeff_0",0.0
"close__fft_coefficient__attr_""imag""__coeff_1",-267.2543103912243
"close__fft_coefficient__attr_""imag""__coeff_2",286.56042901720383
"close__fft_coefficient__attr_""imag""__coeff_3",384.81669112418297
"close__fft_coefficient__attr_""imag""__coeff_4",356.82164631810247
"close__fft_coefficient__attr_""imag""__coeff_5",218.960750040564
"close__fft_coefficient__attr_""imag""__coeff_6",143.03587175907126
"close__fft_coefficient__attr_""imag""__coeff_7",212.0521495994218
"close__fft_coefficient__attr_""imag""__coeff_8",154.84023376567023
"close__fft_coefficient__attr_""imag""__coeff_9",71.2348647591457
"close__fft_coefficient__attr_""imag""__coeff_10",44.0727437023998
"close__fft_coefficient__attr_""imag""__coeff_11",0.7201557474660956
"close__fft_coefficient__attr_""imag""__coeff_12",93.26561380867906
"close__fft_coefficient__attr_""imag""__coeff_13",75.62274042014877
"close__fft_coefficient__attr_""imag""__coeff_14",62.57886546170484
"close__fft_coefficient__attr_""imag""__coeff_15",37.832457936829826
"close__fft_coefficient__attr_""imag""__coeff_16",53.22231736808291
"close__fft_coefficient__attr_""imag""__coeff_17",-21.120374067473396
"close__fft_coefficient__attr_""imag""__coeff_18",-21.98960167197465
"close__fft_coefficient__attr_""imag""__coeff_19",6.863599620931131
"close__fft_coefficient__attr_""imag""__coeff_20",19.671732949773943
"close__fft_coefficient__attr_""imag""__coeff_21",19.662050249939576
"close__fft_coefficient__attr_""imag""__coeff_22",51.8864772356435
"close__fft_coefficient__attr_""imag""__coeff_23",24.439661590538368
"close__fft_coefficient__attr_""imag""__coeff_24",28.827181239452443
"close__fft_coefficient__attr_""imag""__coeff_25",52.34087346118232
"close__fft_coefficient__attr_""imag""__coeff_26",62.89200865055014
"close__fft_coefficient__attr_""imag""__coeff_27",24.534392244150744
"close__fft_coefficient__attr_""imag""__coeff_28",20.761181463005506
"close__fft_coefficient__attr_""imag""__coeff_29",-4.703508862935061
"close__fft_coefficient__attr_""imag""__coeff_30",-18.31639515423406
"close__fft_coefficient__attr_""imag""__coeff_31",-13.1730171403205
"close__fft_coefficient__attr_""imag""__coeff_32",9.698725814522387
"close__fft_coefficient__attr_""imag""__coeff_33",31.480023770828055
"close__fft_coefficient__attr_""imag""__coeff_34",35.30433979751902
"close__fft_coefficient__attr_""imag""__coeff_35",19.242960440560744
"close__fft_coefficient__attr_""imag""__coeff_36",1.0496200298561291
"close__fft_coefficient__attr_""imag""__coeff_37",7.703382614603967
"close__fft_coefficient__attr_""imag""__coeff_38",19.11528163198164
"close__fft_coefficient__attr_""imag""__coeff_39",9.901986450357324
"close__fft_coefficient__attr_""imag""__coeff_40",12.722994920794024
"close__fft_coefficient__attr_""imag""__coeff_41",34.934150614245645
"close__fft_coefficient__attr_""imag""__coeff_42",27.384229214666824
"close__fft_coefficient__attr_""imag""__coeff_43",9.79348372365812
"close__fft_coefficient__attr_""imag""__coeff_44",30.84416101669052
"close__fft_coefficient__attr_""imag""__coeff_45",9.148059951153435
"close__fft_coefficient__attr_""imag""__coeff_46",30.143362963957053
"close__fft_coefficient__attr_""imag""__coeff_47",21.842730827644065
"close__fft_coefficient__attr_""imag""__coeff_48",17.061203905576633
"close__fft_coefficient__attr_""imag""__coeff_49",-3.934573799680223
"close__fft_coefficient__attr_""imag""__coeff_50",8.834967133268425
"close__fft_coefficient__attr_""imag""__coeff_51",16.201167331258468
"close__fft_coefficient__attr_""imag""__coeff_52",16.846360910516143
"close__fft_coefficient__attr_""imag""__coeff_53",7.470675710690012
"close__fft_coefficient__attr_""imag""__coeff_54",8.439764389284797
"close__fft_coefficient__attr_""imag""__coeff_55",-1.2749681611702828
"close__fft_coefficient__attr_""imag""__coeff_56",25.398857981976178
